"formation","validName","SourceNameAuthor","References","Observaciones","Chronostratigraphy","long","lat","AgeGroup"
"Mengkarang","Cyathocarpus_hemitelioides","Pecopteris hemitelioides Brongniart","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"C"
"Mengkarang","Cyathocarpus_candolleanus","Pecopteris candolleana Brongniart","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"C"
"Mengkarang","Cyathocarpus_daubreei","Pecopteris daubreei Zeiller","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"C"
"Mengkarang","Dizeugotheca_spAvanWaveren2007","Dizeugotheca_spA","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"C"
"TaiyuanWuda","Cyathocarpus_arboreus","Pecopteris arborescens Sternberg","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"C"
"TaiyuanWuda","Cyathocarpus_candolleanus","Pecopteris candolleana Brongniart","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"C"
"TaiyuanWuda","Cyathocarpus_cyatheus","Pecopteris cyathea Brongniart","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"C"
"TaiyuanWuda","Cyathocarpus_hemitelioides","Pecopteris hemitelioides Brongniart","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"C"
"WankieCoalfield","Cyathocarpus_arboreus","Pecopteris arborescens Schlotheim","Walton (1929)",NA,"Cisuralian",26.4900117476078,-18.3627193745139,"C"
"Shanxi","Cyathocarpus_yongchangensis","Cyathocarpus yongchangensis Sun F.K. and Sun B.N","Sun et al. (2017)",NA,"Cisuralian",101.998853171799,38.3124679710261,"C"
