"Formation","validName","SourceNameAuthor","References","Observaciones","Chronostratigraphy","long","lat","AgeGroup"
"MazonCreek","Cyathocarpus_arboreus","Pecopteris arborescens (Brongniart) Sternberg","Noé (1925)",NA,"UpperPennsylvanian",-88.2725858979287,41.2130891821913,"UP"
"Mengkarang","Cyathocarpus_hemitelioides","Pecopteris hemitelioides Brongniart","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"P"
"Mengkarang","Cyathocarpus_candolleanus","Pecopteris candolleana Brongniart","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"P"
"Mengkarang","Cyathocarpus_daubreei","Pecopteris daubreei Zeiller","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"P"
"Mengkarang","Dizeugotheca_spAvanWaveren2007","Dizeugotheca_spA","van Waveren et al. (2007)",NA,"Asselain–Sakmarian",102.161609619851,-2.10648813911427,"P"
"Llewellyn","Cyathocarpus_arboreus","Pecopteris arborescens Sternberg","Oleksyshyn (1982)",NA,"UpperPennsylvanian",-75.9924214888231,40.9334296836184,"P"
"Llewellyn","Cyathocarpus_candolleanus","Pecopteris candolliana Brongniart","Oleksyshyn (1982)",NA,"UpperPennsylvanian",-75.9924214888231,40.9334296836184,"P"
"Llewellyn","Cyathocarpus_cyatheus","Pecopteris cyathea Brongniart","Oleksyshyn (1982)",NA,"UpperPennsylvanian",-75.9924214888231,40.9334296836184,"P"
"Llewellyn","Cyathocarpus_hemitelioides","Pecopteris hemitelioides Brongniart","Oleksyshyn (1982)",NA,"UpperPennsylvanian",-75.9924214888231,40.9334296836184,"P"
"Llewellyn","Cyathocarpus_lepidorachis","Pecopteris lepidorachis Brongniart","Oleksyshyn (1982)",NA,"UpperPennsylvanian",-75.9924214888231,40.9334296836184,"P"
"TaiyuanWuda","Cyathocarpus_arboreus","Pecopteris arborescens Sternberg","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"P"
"TaiyuanWuda","Cyathocarpus_candolleanus","Pecopteris candolleana Brongniart","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"P"
"TaiyuanWuda","Cyathocarpus_cyatheus","Pecopteris cyathea Brongniart","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"P"
"TaiyuanWuda","Cyathocarpus_hemitelioides","Pecopteris hemitelioides Brongniart","Wang and Pfefferkorn (2013)",NA,"Asselian",106.530791180771,39.4829848068299,"P"
"NWSpain","Cyathocarpus_arboreus","Pecopteris arborescens Sternberg","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.86844399018913,42.9802000230908,"UP"
"NWSpain","Cyathocarpus_daubreei","Pecopteris daubreei Zeiller","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.86844399018913,42.9802000230908,"UP"
"NWSpain","Cyathocarpus_candolleanus","Pecopteris candolleana Brongniart","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.86844399018913,42.9802000230908,"UP"
"NWSpain","Cyathocarpus_cyatheus","Pecopteris cyathea Brongniart","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.86844399018913,42.9802000230908,"UP"
"SWSpain","Cyathocarpus_daubreei","Pecopteris daubreei Zeiller","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.14341937111948,37.6899997195814,"UP"
"SWSpain","Cyathocarpus_cyatheus","Pecopteris cyathea Brongniart","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.14341937111948,37.6899997195814,"UP"
"SWSpain","Cyathocarpus_candolleanus","Pecopteris candolleana Brongniart","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.14341937111948,37.6899997195814,"UP"
"SWSpain","Cyathocarpus_arboreus","Pecopteris arborescens Sternberg","Wagner and Álvarez-Vázquez (2010)",NA,"UpperPennsylvanian",-5.14341937111948,37.6899997195814,"UP"
"SidneyCoalfield","Cyathocarpus_cyatheus","Eupecopteris (Asterotheca) cyathea (Schloteim) Bell","Bell (1938)",NA,"UpperPennsylvanian",-60.2854269196216,46.2084529629023,"UP"
